   PID                           Task                                  Package   Read Calls   Read Bytes   Max Read Bytes  Write Calls  Write Bytes  Max Write Bytes
 26958    do_deploy_source_date_epoch                     zlib-native-1.3.1-r0           53       779417           299421          106       148311             8190
 26994      do_prepare_recipe_sysroot                     zlib-native-1.3.1-r0           32       709663           299421           50        71595            16021
 27003                   do_configure                     zlib-native-1.3.1-r0           50       710166           299421           75       102574            16021
 27053                   do_recipe_qa                      acl-native-2.3.2-r0           50       800404           299421          108       129494             8176
 27125                       do_fetch                      acl-native-2.3.2-r0          449       729876           299421          110        72630            16021
 27130                      do_unpack               sqlite3-native-3_3.45.3-r0           40       721433           299421           61        35431             3947
 27190                       do_patch               sqlite3-native-3_3.45.3-r0           46       785135           299421           70        85654            16021
 27214                     do_compile                     zlib-native-1.3.1-r0           77       723766           299421           83        74636             8190
 27230                   do_recipe_qa                      popt-native-1.19-r0           50       798861           299421          108       129205             8176
 27330                       do_fetch                      popt-native-1.19-r0          497       727726           299421           97        65814            16021
 27396                   do_recipe_qa                   unifdef-native-2.12-r0           38       770383           299421          101       123997             8132
 27454                   do_recipe_qa                    rsync-native-3.3.0-r0           46       791561           299421          106       128497             7983
 27501                       do_fetch                   unifdef-native-2.12-r0          134       698512           299421           80        58286            16021
 27535                     do_install                     zlib-native-1.3.1-r0           58       712955           299421           64        78371             8190
 27545                      do_unpack        gnu-config-native-20240101+git-r0           61       701236           299421           71        52981             3551
 27608      do_prepare_recipe_sysroot        gnu-config-native-20240101+git-r0           26       700923           299421           48        70807            16021
 27649            do_populate_sysroot                     zlib-native-1.3.1-r0          184      1196292           299421          168       229678             8190
 27653                       do_fetch                    rsync-native-3.3.0-r0          846       720866           299421          118        75334            16021
 27654                   do_recipe_qa                linux-libc-headers-6.9-r0           39       475287           299421           95       124689             7335
 27669                       do_patch        gnu-config-native-20240101+git-r0           36       764640           299421           68        84551            16021
 27741                       do_fetch                linux-libc-headers-6.9-r0        96786       624596           299421          237        74326            16021
 27765    do_deploy_source_date_epoch        gnu-config-native-20240101+git-r0           49       771557           299421          104       149091             8157
 27773                      do_unpack           pkgconfig-native-0.29.2+git-r0           70       721530           299421           87        63437             3696
 27837                   do_recipe_qa                     zstd-native-1.5.6-r0           38       771388           299421           99       121960             8177
 27867                   do_configure        gnu-config-native-20240101+git-r0           33       700935           299421           65       117552            16021
 27913                   do_recipe_qa                   libmpc-native-1.3.1-r0           48       790658           299421          105       127660             8019
 27915                       do_fetch                     zstd-native-1.5.6-r0          365       720972           299421          490       100164            16021
 27926                     do_install        gnu-config-native-20240101+git-r0           39       700940           299421           44        66331             8157
 27981                       do_fetch                   libmpc-native-1.3.1-r0          598       718953           299421           97        61262            16021
 27997                       do_patch           pkgconfig-native-0.29.2+git-r0           53       786375           299421           83        93964            16021
 28001            do_populate_sysroot        gnu-config-native-20240101+git-r0          101       932200           299421          166       231553             8157
 28115    do_deploy_source_date_epoch           pkgconfig-native-0.29.2+git-r0           60       792208           299421          114       170160             8163
 28147    do_deploy_source_date_epoch               sqlite3-native-3_3.45.3-r0           59       792460           299421          110       156687             8159
 28194                   do_recipe_qa              gcc-source-14.1.0-14.1.0-r0           46       487856           299421           98       127368             7931
 28227                      do_unpack                      acl-native-2.3.2-r0           45       730896           299421           80        47432             4006
 28253                       do_fetch              gcc-source-14.1.0-14.1.0-r0        61734       560788           299421          422       213392            16021
 28276                       do_patch                      acl-native-2.3.2-r0           66       797440           299421           89        96543            16021
 28329                      do_unpack                      popt-native-1.19-r0           43       729146           299421           68        39631             4008
 28424                      do_unpack                    rsync-native-3.3.0-r0           42       721421           299421           84        50114             4018
 28435                       do_patch                      popt-native-1.19-r0           48       792853           299421           75        89088            16021
 28465                      do_unpack                   libmpc-native-1.3.1-r0           40       720095           299421           61        34316             3694
 28474                       do_patch                    rsync-native-3.3.0-r0           69       794723           299421           94        98955            16021
 28518                       do_patch                   libmpc-native-1.3.1-r0           46       783802           299421           70        84673            16021
 28631    do_deploy_source_date_epoch                      acl-native-2.3.2-r0           61       801918           299421          111       155913             8176
 28695    do_deploy_source_date_epoch                      popt-native-1.19-r0           61       800168           299421          111       155915             8176
 28740      do_prepare_recipe_sysroot                   unifdef-native-2.12-r0           26       700452           299421           48        70615            16021
 28771    do_deploy_source_date_epoch                    rsync-native-3.3.0-r0           57       792447           299421          109       154913             7983
 28776    do_deploy_source_date_epoch                   libmpc-native-1.3.1-r0           59       791123           299421          110       155647             8019
 28843                   do_recipe_qa               gcc-cross-x86_64-14.1.0-r0           59       518297           299421          101       129371             8091
 28848                   do_recipe_qa                      gperf-native-3.1-r0           44       790330           299421          105       127762             8176
 28905                   do_recipe_qa                        glibc-2.39+git-r0           56       514088           299421          101       130929             7359
 28914                       do_fetch                      gperf-native-3.1-r0          892       718798           299421          111        68806            16021
 28949                       do_fetch                        glibc-2.39+git-r0        26192       505237           299421          292       148279            16021
 28961                   do_recipe_qa                 libgcc-initial-14.1.0-r0           57       509983           299421          102       129654             8056
 28994                      do_unpack                      gperf-native-3.1-r0           38       719323           299421           71        42278             4089
 29013                       do_patch                      gperf-native-3.1-r0           60       791546           299421           82        92034            16021
 29144                   do_recipe_qa                      gdbm-native-1.23-r0           54       801952           299421          108       129266             8176
 29177                       do_fetch                      gdbm-native-1.23-r0          789       730058           299421          114        69374            16021
 29189                   do_recipe_qa                    ncurses-native-6.5-r0           56       819366           299421          108       129459             7997
 29222                       do_fetch                    ncurses-native-6.5-r0          385       767852           299421          507       117492            16021
 29288                      do_unpack                     zstd-native-1.5.6-r0           59       701298           299421           65        47588             3492
 29326                       do_patch                     zstd-native-1.5.6-r0           36       764744           299421           64        81066            16021
 29342    do_deploy_source_date_epoch                     zstd-native-1.5.6-r0           49       772920           299421          104       147016             8177
 29379      do_prepare_recipe_sysroot                     zstd-native-1.5.6-r0           28       701037           299421           48        70377            16021
 29389                   do_configure                     zstd-native-1.5.6-r0           33       701039           299421           65       117108            16021
 29401                     do_compile                     zstd-native-1.5.6-r0          379       836742           299421          387       196530             8177
 29594                      do_unpack         gettext-minimal-native-0.22.5-r0           31       401959           299421           58        34170             3829
 29848      do_prepare_recipe_sysroot         gettext-minimal-native-0.22.5-r0           26       401934           299421           45        69934            16021
 29869                   do_recipe_qa                     make-native-4.4.1-r0           52       793101           299421          107       128725             8188
 29921                   do_recipe_qa                perlcross-native-1.5.2-r0           42       775720           299421          103       124941             8120
 29965                       do_fetch                     make-native-4.4.1-r0         1588       722613           299421          134        68912            16021
 29990                       do_patch         gettext-minimal-native-0.22.5-r0           36       465651           299421           65        83602            16021
 30014    do_deploy_source_date_epoch         gettext-minimal-native-0.22.5-r0           49       474285           299421          101       148191             8122
 30027                      do_unpack                      gmp-native-6.3.0-r0           45       722960           299421           80        47709             4078
 30073                       do_fetch                perlcross-native-1.5.2-r0          169       703230           299421          102        73782            16021
 30088                   do_configure         gettext-minimal-native-0.22.5-r0           33       401946           299421           62       116951            16021
 30117                     do_compile         gettext-minimal-native-0.22.5-r0           33       401972           299421           39        62053             8122
 30134                     do_install         gettext-minimal-native-0.22.5-r0           41       403875           299421           47        68458             8122
 30165                   do_recipe_qa                    perl-native-5.38.2-r0           51       818369           299421          106       126811             8181
 30183            do_populate_sysroot         gettext-minimal-native-0.22.5-r0          154       741717           299421          159       232202             8122
 30253                       do_fetch                    perl-native-5.38.2-r0        14909       775591           299421          225       103770            16021
 30307      do_prepare_recipe_sysroot                      m4-native-1.4.19-r0           50       437412           299421           57        79718            16021
 30325                       do_patch                      gmp-native-6.3.0-r0           73       791176           299421           92        97322            16021
 30345                   do_configure                      m4-native-1.4.19-r0         1418       464575           299421         1465       244762            16021
 30730    do_deploy_source_date_epoch                      gmp-native-6.3.0-r0           61       795480           299421          111       155658             8176
 30788                   do_recipe_qa                  openssl-native-3.3.1-r0           61       822470           299421          111       130675             8093
 30836                   do_recipe_qa                    bzip2-native-1.0.8-r0           53       817455           299421          109       130817             8048
 30896                       do_fetch                  openssl-native-3.3.1-r0        12190       776610           299421          214        90008            16021
 30952                       do_fetch                    bzip2-native-1.0.8-r0          763       757933           299421          286       111977            16021
 31216                      do_unpack                      gdbm-native-1.23-r0           48       730737           299421           76        44356             4008
 31260                       do_patch                      gdbm-native-1.23-r0           63       796040           299421           84        93639            16021
 31357    do_deploy_source_date_epoch                      gperf-native-3.1-r0           55       792284           299421          108       153925             8176
 31443                      do_unpack                    ncurses-native-6.5-r0           83       748383           299421           98        68385             3729
 31459                   do_recipe_qa                 libtirpc-native-1.3.4-r0           46       792454           299421          106       128525             8091
 31519                       do_fetch                 libtirpc-native-1.3.4-r0          481       719246           299421          101        66054            16021
 31649                       do_patch                    ncurses-native-6.5-r0           86       816424           299421          101       100900            16021
 32157                      do_unpack                     make-native-4.4.1-r0           45       721468           299421           69        40754             4009
 32161                      do_unpack                perlcross-native-1.5.2-r0           38       703874           299421           81        48898             4094
 32250                      do_unpack                    perl-native-5.38.2-r0           54       746312           299421          126        76799             4025
 32266                       do_patch                     make-native-4.4.1-r0           61       786661           299421           79        90877            16021
 32410                       do_patch                perlcross-native-1.5.2-r0           65       771513           299421           91        97368            16021
 32676                      do_unpack                  openssl-native-3.3.1-r0           57       750195           299421           91        56164             4018
 32797                       do_patch                    perl-native-5.38.2-r0          116       826803           299421          140       123573            16021
 33143                      do_unpack                    bzip2-native-1.0.8-r0           80       745310           299421           93        66424             4096
 33522                       do_patch                  openssl-native-3.3.1-r0           84       831908           299421          101       105063            16021
 33557                       do_patch                    bzip2-native-1.0.8-r0           51       808658           299421           84        95431            16021
 33695                   do_recipe_qa                    expat-native-2.6.2-r0           49       792233           299421          104       126162             8094
 33812                      do_unpack                 libtirpc-native-1.3.4-r0           39       719739           299421           66        38839             4093
 33846                       do_fetch                    expat-native-2.6.2-r0          486       719319           299421          102        65796            16021
 33894                       do_patch                 libtirpc-native-1.3.4-r0           55       785311           299421           76        88963            16021
 34003           do_collect_spdx_deps              texinfo-dummy-native-1.0-r0           28       468727           299421           42        47101            16021
 34024                 do_create_spdx              texinfo-dummy-native-1.0-r0           62       590200           299421          145       810833           258074
 34087    do_deploy_source_date_epoch                      gdbm-native-1.23-r0           66       804132           299421          113       157156             8176
 34132                   do_recipe_qa      util-linux-libuuid-native-2.40.1-r0           51       795552           299421          108       130672             8148
 34170    do_deploy_source_date_epoch                    ncurses-native-6.5-r0           68       821597           299421          113       157154             7997
 34212                      do_unpack                        glibc-2.39+git-r0           89       449182           299421          176       127905             3953
 34224                       do_fetch      util-linux-libuuid-native-2.40.1-r0         6063       733266           299421          215       102367            16021
 34290                   do_recipe_qa                   cmake-native-3.29.3-r0           39       477189           299421           98       122647             8132
 34344                       do_fetch                   cmake-native-3.29.3-r0         7607       418219           299421          189        78749            16021
 34593                     do_install                     zstd-native-1.5.6-r0          162       750506           299421          171       124388             8177
 35188                   do_recipe_qa                       re2c-native-3.1-r0           47       793089           299421          106       127913             8175
 35295                       do_fetch                       re2c-native-3.1-r0         1038       720761           299421          114        65121            16021
 35321                   do_recipe_qa                   ninja-native-1.12.1-r0           39       774366           299421           99       122200             8132
 35386                       do_fetch                   ninja-native-1.12.1-r0          328       716675           299421          430        95091            16021
 35461                      do_unpack                    expat-native-2.6.2-r0           42       719297           299421           66        39148             4079
 35505                   do_recipe_qa                   libffi-native-3.4.6-r0           51       796778           299421          108       129730             8019
 35562                       do_fetch                   libffi-native-3.4.6-r0         1058       723969           299421          120        69587            16021
 35759                   do_recipe_qa           libedit-native-20240517-3.1-r0           48       807783           299421          106       129201             8163
 35816                       do_fetch           libedit-native-20240517-3.1-r0          310       732338           299421           97        65630            16021
 35935                   do_recipe_qa                  libnsl2-native-2.0.1-r0           49       794698           299421          105       127461             8055
 35998                       do_fetch                  libnsl2-native-2.0.1-r0          271       734378           299421          342        95254            16021
 36292                   do_recipe_qa                 python3-native-3.12.4-r0           68      1031798           299421          111       134256             7279
 36357                       do_fetch                 python3-native-3.12.4-r0        14007       985550           299421          294       159474            16021
 36492                       do_patch                    expat-native-2.6.2-r0           47       783001           299421           73        88051            16021
 36519            do_populate_sysroot                     zstd-native-1.5.6-r0         1102      4784041           299421          167       230411             8177
 36545    do_deploy_source_date_epoch                     make-native-4.4.1-r0           64       796639           299421          112       156620             8188
 36676    do_deploy_source_date_epoch                perlcross-native-1.5.2-r0           54       779060           299421          106       149195             8120
 36779      do_prepare_recipe_sysroot                perlcross-native-1.5.2-r0           32       703874           299421           50        71852            16021
 36793    do_deploy_source_date_epoch                    perl-native-5.38.2-r0           63       821476           299421          109       150859             8181
 36828                   do_configure                perlcross-native-1.5.2-r0           32       703874           299421           57        89032            16021
 36858           do_collect_spdx_deps        gnu-config-native-20240101+git-r0           30       768653           299421           46        48298            16021
 36869                     do_compile                perlcross-native-1.5.2-r0           32       703872           299421           35        37214             4093
 36913                   do_recipe_qa                 gtk-doc-native-1.34.0-r0           49       797405           299421          107       130282             8091
 36922                 do_create_spdx        gnu-config-native-20240101+git-r0           64       909775           299421          142       771761           258074
 36931                     do_install                perlcross-native-1.5.2-r0           43       703886           299421           46        64173             8120
 37016                       do_fetch                 gtk-doc-native-1.34.0-r0          417       721654           299421          118        79898            16021
 37043    do_deploy_source_date_epoch                  openssl-native-3.3.1-r0           73       825590           299421          116       155440             8093
 37066            do_populate_sysroot                perlcross-native-1.5.2-r0          607      1415651           299421          201       417650             8192
 37146    do_deploy_source_date_epoch                    bzip2-native-1.0.8-r0           65       820351           299421          112       157064             8048
 37263                      do_unpack                   cmake-native-3.29.3-r0           34       403797           299421           76        47270             4095
 37342                      do_unpack                   ninja-native-1.12.1-r0           60       700866           299421           65        47850             3499
 37448                       do_patch                   ninja-native-1.12.1-r0           36       764248           299421           64        81127            16021
 37486                      do_unpack                   libffi-native-3.4.6-r0           43       722738           299421           68        40203             4086
 37542                      do_unpack           libedit-native-20240517-3.1-r0           40       733525           299421           66        39182             4025
 37585                      do_unpack                  libnsl2-native-2.0.1-r0           71       720563           299421           71        51464             3508
 37678                       do_patch                   libffi-native-3.4.6-r0           59       787952           299421           78        89987            16021
 37791                       do_patch           libedit-native-20240517-3.1-r0           56       798022           299421           76        89248            16021
 37895                       do_patch                  libnsl2-native-2.0.1-r0           46       783914           299421           70        84711            16021
 37930    do_deploy_source_date_epoch                 libtirpc-native-1.3.4-r0           58       795142           299421          109       155490             8091
 37990                   do_recipe_qa                         libgcc-14.1.0-r0           55       509545           299421          101       128396             7752
 38037           do_collect_spdx_deps         gettext-minimal-native-0.22.5-r0           30       469663           299421           43        47681            16021
 38054                 do_create_spdx         gettext-minimal-native-0.22.5-r0           66       611713           299421          139       772515           258074
 38085                       do_patch                   cmake-native-3.29.3-r0           54       470525           299421           83        95026            16021
 38130           do_collect_spdx_deps                      m4-native-1.4.19-r0           44       500472           299421           52        56526            16021
 38206                 do_create_spdx                      m4-native-1.4.19-r0           99       661958           299421          160       786413           258074
 38307                   do_recipe_qa                     curl-native-8.8.0-r0           60       828460           299421          112       131864             8188
 38340           do_collect_spdx_deps                 autoconf-native-2.72e-r0           38       790003           299421           51        52392            16021
 38403                 do_create_spdx                 autoconf-native-2.72e-r0          101       961898           299421          185       801464           258074
 38408                       do_fetch                     curl-native-8.8.0-r0         1940       755057           299421          152        78111            16021
 38491                   do_recipe_qa               libunistring-native-1.2-r0           47       796128           299421          104       127605             8163
 38560                       do_fetch               libunistring-native-1.2-r0         3042       725135           299421          168        68624            16021
 38705    do_deploy_source_date_epoch                   cmake-native-3.29.3-r0           50       479625           299421          101       146640             8132
 38766    do_deploy_source_date_epoch                   ninja-native-1.12.1-r0           50       776382           299421          104       147355             8132
 38829     do_generate_toolchain_file                    expat-native-2.6.2-r0           44       719296           299421           47        73984             8107
 38866    do_deploy_source_date_epoch                    expat-native-2.6.2-r0           61       795133           299421          109       150532             8094
 38939    do_deploy_source_date_epoch                   libffi-native-3.4.6-r0           62       798577           299421          111       156318             8019
 39017    do_deploy_source_date_epoch           libedit-native-20240517-3.1-r0           59       809382           299421          109       156577             8163
 39085    do_deploy_source_date_epoch                  libnsl2-native-2.0.1-r0           60       796050           299421          110       156016             8055
 39162                   do_recipe_qa              libgpg-error-native-1.49-r0           62       823978           299421          111       132499             8061
 39179                   do_recipe_qa                    libcap-native-2.70-r0           41       778092           299421          102       124556             8094
 39233                       do_fetch              libgpg-error-native-1.49-r0          514       747766           299421          121        76572            16021
 39272                       do_fetch                    libcap-native-2.70-r0          178       700272           299421           88        65705            16021
 39347                   do_recipe_qa               libgcrypt-native-1.10.3-r0           55       807285           299421          110       130830             8163
 39411                       do_fetch               libgcrypt-native-1.10.3-r0         1614       734560           299421          182        89769            16021
 39420                      do_unpack               libunistring-native-1.2-r0           38       720773           299421           60        35241             4086
 39524                       do_patch               libunistring-native-1.2-r0           44       784473           299421           69        85586            16021
 39557           do_collect_spdx_deps                automake-native-1.16.5-r0           40       789123           299421           52        52584            16021
